danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.669,0.698,-7.971,0.0713,0.0243,0.0,0.0782,0.6,83.987,2BdSaGVMxZzEeJYjjrlo6n,261707
0.544,0.897,-6.056,0.0471,0.241,0.0,0.13,0.647,157.17,34x6hEJgGAOQvmlMql5Ige,215133
0.514,0.942,-8.433,0.0502,0.282,6.6e-05,0.17,0.912,159.847,4ebcE2SmkG7nplvzFAWRu7,175267
0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983,0ct6r3EGTcMLPtrXHDvVjc,176658
0.767,0.881,-3.988,0.0301,0.00133,0.000139,0.0551,0.961,130.018,1mvZErZBp7WZT3HfGBykao,209800
0.743,0.752,-4.813,0.0414,0.0188,0.0,0.287,0.545,110.015,1XGmzt0PVuFgQYYnV2It7A,231173
0.739,0.791,-4.796,0.0831,0.00144,0.000157,0.115,0.631,103.494,1GakyY5lyvZGZXZYkk3FjS,215800
0.391,0.951,-7.419,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4LJhJ6DQS7NwE7UKtvcM52,148360
0.725,0.879,-3.336,0.0551,0.0119,3.5e-05,0.367,0.638,128.03,4PQA5I8Qf99He3SBKtl4Tf,192667
0.78,0.693,-4.453,0.225,0.00102,0.0,0.111,0.629,129.951,2GWpc4r9gvF9YLEWYJPzLA,232093
0.696,0.886,-4.166,0.0444,0.000114,0.000182,0.309,0.825,124.996,1r3Cg2BxENu0pDd8Z8IXjE,280560
0.649,0.822,-5.8,0.0398,0.00258,3.83e-05,0.362,0.201,140.026,5aQmsZCESbhasWW5VARdS8,171149
0.707,0.868,-3.648,0.0632,0.0194,8.05e-05,0.227,0.148,129.969,3Qq7zFuBjiQFmQ8wz55CdJ,228307
0.818,0.799,-4.1,0.156,0.00107,0.128,0.057,0.0815,100.014,67awxiNHNyjMXhVgsHuIrs,213733
0.856,0.527,-5.225,0.0997,0.392,0.0,0.11,0.386,98.052,0Dc7J9VPV4eOInoxUiZrsL,266840
0.617,0.617,-6.941,0.122,3.97e-05,0.0598,0.253,0.517,127.996,4ua0IepBEISCWwF8dTJvcU,328253
0.597,0.868,-5.095,0.0526,0.0212,0.0,0.664,0.709,160.021,0n0eMsX7WgEtc7dlscbuKU,221893
